Timestamp,Ping (ms), Download (Mbit/s), Upload (Mbit/s)
2020-02-18 20:02:03,6.541,93.07,64.22
2020-02-18 20:15:34,4.796,93.28,64.11
2020-02-18 20:30:34,5.119,4.85,64.67
2020-02-18 20:45:33,5.084,93.20,65.03
2020-02-18 21:00:34,4.998,92.96,65.26
2020-02-18 21:15:34,4.494,93.05,64.98
2020-02-18 21:31:04,6.641,92.83,13.25
2020-02-18 21:45:33,10.343,92.62,65.12
2020-02-18 22:00:45,9.615,38.53,65.20
2020-02-18 22:15:44,9.65,18.25,8.20
2020-02-18 22:30:43,9.508,92.54,3.32
2020-02-18 22:45:33,8.082,2.97,1.64
2020-02-18 23:00:59,9.722,43.68,2.91
2020-02-18 23:15:40,9.517,9.50,6.41
2020-02-18 23:30:43,7.921,6.96,2.91
2020-02-18 23:45:35,9.105,93.07,9.59
2020-02-19 00:00:35,8.154,92.47,52.01
2020-02-19 00:15:51,9.323,92.87,10.84
2020-02-19 00:31:03,9.171,23.92,64.68
2020-02-19 00:46:06,10.245,93.05,12.69
